cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,net fuel consumption,net fuel cost,net fuel emission,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.245155,0.0,3.5377002,3.5377000719308853,139.20044565200806,19.26113760471344,0.0,3.5377000719308853,0.0,3.5377002,3.5377002,3.5377002,3.5377002,3.5377002,0.0
0.0,0.0,0.0,0.0,6.639871,6.639871,6.639871,0.0,17.27253,17.27253,0.0,0.0,0.0,6.189325,0.0,0.0,130.71204,17.27253,3.5465293,20.819058030843735,176.02487468719482,24.356526255607605,0.0,20.819058030843735,0.0,-33.887363,-33.887363,-33.887363,-33.887363,3.5465293,0.0
0.0,0.0,0.0,0.0,6.639871,6.639871,6.639871,0.0,17.196009,17.196009,0.0,0.0,0.0,6.189325,0.0,0.0,131.44144,17.196009,3.4751377,20.671147242188454,175.34035348892212,24.26180911064148,0.0,20.671147242188454,0.0,-32.457397,-32.457397,-32.457397,-32.457397,3.4751377,0.0
0.0,0.0,0.0,0.0,0.14317036,0.14317036,0.14317036,0.0,14.558211,14.558211,0.0,0.0,0.0,0.13345557,0.0,0.0,134.52466,14.558211,3.4535336,18.01174534857273,176.83834791183472,24.469086408615112,0.0,18.01174534857273,0.0,-24.022608,-24.022608,-24.022608,-24.022608,3.4535336,0.0
0.0,0.0,0.0,1.8453704,2.1319635,0.11638058,0.11638058,0.0,9.573256,9.573256,0.0,0.0,0.0,0.10848361,0.0,0.0,133.64201,9.573256,3.5523732,13.125628978013992,176.34930610656738,24.40141761302948,0.0,13.125628978013992,0.0,-24.355211,-24.355211,-24.355211,-24.355211,3.5523732,0.0
0.0,0.0,0.0,3.4734745,3.9091883,0.11638058,0.11638058,0.0,5.1547136,5.1547136,0.0,0.0,0.0,0.10848361,0.0,0.0,136.32645,5.1547136,4.005574,9.160287469625473,173.72177648544312,24.037846982479095,0.0,9.160287469625473,0.0,-18.286726,-18.286726,-18.286726,-18.286726,4.005574,0.0
0.0,0.0,0.0,0.5837864,0.7442578,0.11638058,0.11638058,0.0,1.5662076,1.5662076,0.0,0.0,0.0,0.10848361,0.0,0.0,142.92728,1.5662076,5.0291724,6.595379680395126,177.67380619049072,24.584688663482666,0.0,6.595379680395126,0.0,-13.883021,-13.883021,-13.883021,-13.883021,5.0291724,0.0
0.0,0.0,0.0,7.1318774,7.9118123,0.11638058,0.11638058,0.0,0.477222,0.477222,0.0,0.0,0.0,0.10848361,0.0,0.0,141.01747,0.477222,7.434664,7.9118861854076385,171.2723708152771,23.698923349380493,0.0,7.9118861854076385,0.0,-7.067994,-7.067994,-7.067994,-7.067994,7.434664,0.0
0.0,0.0,0.0,8.846792,9.815783,0.11638058,0.11638058,0.0,0.45279416,0.45279416,0.0,0.0,0.0,0.10848361,0.0,0.0,136.24258,0.45279416,19.67443,19.90763235092163,167.4846897125244,23.174822568893433,0.0,19.90763235092163,0.0,3.4951816,3.7147746,3.4951816,3.7147746,19.67443,-0.21959357
0.0,0.0,0.0,4.2336864,4.7220774,0.11638058,0.11638058,0.0,0.45165378,0.45165378,0.0,0.0,0.0,0.10848361,0.0,0.0,123.196045,0.45165378,15.882236,15.5428317040205,152.71474409103394,21.13110864162445,0.0,15.5428317040205,0.0,-0.57728684,0.21377051,-0.57728684,0.21377051,15.882236,-0.7910576
