cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
1.6664819,0.08332409,35.543083,1.0365683,1.0838281,0.0,0.0,0.0,0.0,0.0,0.0,1.6664819,0.0,0.0,0.0,0.0,54.03969,0.0,3.7091038,40.41933596134186,40.41933596134186,0.0,40.41934,40.41934,40.41934,40.41934,3.7091038,0.0
0.0,0.0,38.17433,0.0,4.0241456,4.0241456,4.0241456,0.0,8.987237,8.987237,0.0,0.0,0.0,3.742257,0.0,0.0,58.118847,8.987237,3.5316696,54.71738564968109,54.71738564968109,0.0,41.706,41.706,41.706,41.706,3.5316696,0.0
0.0,0.0,36.739296,0.0,4.0241456,4.0241456,4.0241456,0.0,8.980503,8.980503,0.0,0.0,0.0,3.742257,0.0,0.0,56.061832,8.980503,3.5420039,53.28594493865967,53.28594493865967,0.0,40.281292,40.281292,40.281292,40.281292,3.5420039,0.0
0.0,0.0,38.15823,0.0,4.0241456,4.0241456,4.0241456,0.0,8.973846,8.973846,0.0,0.0,0.0,3.742257,0.0,0.0,58.20987,8.973846,3.5198421,54.67606854438782,54.67606854438782,0.0,41.678074,41.678074,41.678074,41.678074,3.5198421,0.0
0.0,0.0,37.7286,0.45284262,4.517676,4.0241456,4.0241456,0.0,8.967267,8.967267,0.0,0.0,0.0,3.742257,0.0,0.0,57.603416,8.967267,3.6655319,54.87907600402832,54.87907600402832,0.0,41.88766,41.88766,41.88766,41.88766,3.6655319,0.0
0.0,0.0,36.76864,2.272209,6.46689,4.0241456,4.0241456,0.0,8.960764,8.960764,0.0,0.0,0.0,3.742257,0.0,0.0,56.179394,8.960764,4.416981,56.61327648162842,56.61327648162842,0.0,43.628365,43.628365,43.628365,43.628365,4.416981,0.0
0.0,0.0,36.557934,0.089923635,4.118012,4.0241456,4.0241456,0.0,8.954336,8.954336,0.0,0.0,0.0,3.742257,0.0,0.0,55.84362,8.954336,5.4535484,55.08383059501648,55.08383059501648,0.0,42.105347,42.105347,42.105347,42.105347,5.4535484,0.0
0.0,0.0,39.19209,1.6815479,5.8562613,4.0241456,4.0241456,0.0,8.947984,8.947984,0.0,0.0,0.0,3.742257,0.0,0.0,59.077564,8.947984,6.812767,60.80909776687622,60.80909776687622,0.0,47.83697,47.83697,47.83697,47.83697,6.812767,0.0
0.0,0.0,36.478973,5.196082,9.487705,4.0241456,4.0241456,0.0,8.941704,8.941704,0.0,0.0,0.0,3.742257,0.0,0.0,55.129684,8.941704,8.013284,62.49527597427368,62.49527597427368,0.0,49.529427,49.95582,49.529427,49.95582,8.013284,-0.42639107
0.0,0.0,37.374157,1.718154,0.30346784,-1.563482,0.0,-1.563482,-7.9119997,0.0,-7.9119997,0.0,1.4412456,0.0,1.4412456,7.9119997,57.101704,0.0,9.034673,37.36019313335419,37.36019313335419,0.0,46.835674,48.275784,46.835674,48.275784,9.034673,-1.4401072
0.0,0.0,35.895348,2.9400826,2.298244,-0.75262666,0.0,-0.75262666,-7.9119997,0.0,-7.9119997,0.0,0.6996852,0.0,0.6996852,7.9119997,54.898994,0.0,13.314214,40.59234321117401,40.59234321117401,0.0,49.25697,52.26043,49.25697,52.26043,13.314214,-3.003461
0.0,0.0,28.7725,3.1083002,2.301658,-1.0276386,0.0,-1.0276386,-7.9119997,0.0,-7.9119997,0.0,0.9409245,0.0,0.9409245,7.9119997,45.420956,0.0,9.632293,27.804445385932922,27.804445385932922,0.0,36.744083,41.734093,36.744083,41.734093,9.632293,-4.9900045
0.0,0.0,26.546318,4.0426755,4.1900635,0.0,0.0,0.0,-7.9119997,0.0,-7.9119997,0.0,0.0,0.0,0.0,7.9119997,42.461994,0.0,9.659983,28.25698173046112,28.25698173046112,0.0,36.168983,40.396362,36.168983,40.396362,9.659983,-4.2273817
