electrical_storage,cooling_or_heating_device
0.091,0.5694446182250977
0.091,0.5833335113525391
0.091,0.5972224044799805
0.091,0.6055557250976563
0.091,0.6055557250976563
0.091,0.6055557250976563
0.091,0.6055557250976563
0.091,0.6055557250976563
-0.08,0.6055557250976563
-0.08,0.6055557250976563
-0.08,0.6055557250976563
-0.08,0.6055557250976563
-0.08,0.6055557250976563
-0.08,0.6044979095458985
-0.08,0.49001235961914064
-0.08,0.5348617553710938
-0.08,0.454840087890625
-0.08,0.49126510620117186
-0.08,0.5149463653564453
-0.08,0.5108520507812501
-0.08,0.5500999450683595
0.091,0.5378585815429688
0.091,0.549407958984375
0.091,0.5758277893066407
0.091,0.5872772216796875
0.091,0.5757389068603517
0.091,0.5892276763916017
0.091,0.5822322845458985
0.091,0.6018592834472657
0.091,0.5966098785400391
0.091,0.6094184875488282
0.091,0.6300083160400392
-0.08,0.5562164306640626
-0.08,0.5997848510742189
-0.08,0.5082248687744141
-0.08,0.5543113708496095
-0.08,0.5344356536865235
-0.08,0.49216690063476565
-0.08,0.49329414367675783
-0.08,0.5262046813964845
-0.08,0.4839813232421875
-0.08,0.5011207580566407
-0.08,0.5206050872802734
-0.08,0.5241222381591797
-0.08,0.5355693817138673
0.091,0.5649433135986329
0.091,0.5697277069091797
0.091,0.5968101501464844
0.091,0.6576377868652344
0.091,0.6178604125976563
0.091,0.6798038482666017
0.091,0.6346580505371094
0.091,0.6860088348388673
0.091,0.6831531524658204
0.091,0.6937355041503908
0.091,0.6636356353759767
-0.08,0.5492549896240235
-0.08,0.4516468048095703
-0.08,0.37815208435058595
-0.08,0.31174278259277344
-0.08,0.239044189453125
-0.08,0.17267799377441406
-0.08,0.0
-0.08,0.17504382133483887
-0.08,0.0
-0.08,0.14006320953369142
-0.08,0.0
-0.08,0.26332878112792973
-0.08,0.14721235275268554
0.091,0.29463555335998537
0.091,0.32497803688049315
0.091,0.4223083114624024
0.091,0.43111175537109375
0.091,0.4338874816894531
0.091,0.4851585388183594
0.091,0.3761600494384766
0.091,0.4824207305908203
0.091,0.40657730102539064
0.091,0.47980690002441406
0.091,0.4689861297607422
-0.08,0.30344085693359374
-0.08,0.21189384460449218
-0.08,0.18226699829101561
-0.08,0.1542125701904297
-0.08,0.0
-0.08,0.16719866752624513
-0.08,0.0
-0.08,0.11703644752502443
-0.08,0.0
-0.08,0.12995412826538086
-0.08,0.0
-0.08,0.186327486038208
-0.08,0.0
0.091,0.28284586906433107
0.091,0.0
0.091,0.36581470489501955
0.091,0.0
0.091,0.3385580348968506
0.091,0.12636414527893067
0.091,0.28163291931152346
0.091,0.20260032653808596
0.091,0.2526747703552246
0.091,0.2306645488739014
0.091,0.26201633453369144
-0.08,0.20586795806884767
-0.08,0.0
-0.08,0.18832552909851075
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.12957876205444338
-0.08,0.0
0.091,0.19371203422546387
0.091,0.0
0.091,0.3532379817962647
0.091,0.0
0.091,0.43066938400268556
0.091,0.0
0.091,0.43660916328430177
0.091,0.14543949127197267
0.091,0.3277747917175293
0.091,0.20821816444396973
0.091,0.24939757347106933
-0.08,0.1643150329589844
-0.08,0.18750885009765628
-0.08,0.14380179405212404
-0.08,0.0
-0.08,0.12862392425537109
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.1128378200531006
0.091,0.0
0.091,0.11263019561767579
0.091,0.0
0.091,0.22574484825134278
0.091,0.0
0.091,0.22567368507385255
0.091,0.0
0.091,0.20674467086791992
0.091,0.0
0.091,0.23741404533386232
0.091,0.0
-0.08,0.1910242557525635
-0.08,0.0
-0.08,0.11538053512573243
-0.08,0.0
-0.08,0.0
-0.08,0.0
